date,ticker,weight_pct,delta_pp,trigger
2026-06-30,TCELL,20,0,tetik yok - sabit
2026-06-30,TUPRS,20,0,tetik yok - sabit (dunku sicrama sondu; karar dogrulandi)
2026-06-30,FROTO,18,0,tetik yok - sabit
2026-07-01,GARAN,21,0,tetik yok - sabit
2026-07-01,ISCTR,21,0,tetik yok - sabit
2026-07-01,TCELL,20,0,tetik yok - sabit
2026-07-01,TUPRS,20,0,tetik yok - sabit (katalizorsuz +%4 sicramaya overweight yapilmadi)
2026-07-01,FROTO,18,0,tetik yok - sabit
2026-07-02,GARAN,21,0,tetik yok - sabit
2026-07-02,ISCTR,21,0,tetik yok - sabit
2026-07-02,TCELL,20,0,tetik yok - sabit
2026-07-02,TUPRS,20,0,overweight tetigi TETIKLENMEDI - 06-30/07-01 iki settled seans yukari ama 3. seans (07-02) intraday yatay + katalizorsuz; sabit
2026-07-02,FROTO,18,0,tetik yok - sabit
2026-07-06,GARAN,21,0,tetik yok - sabit (07-03 -%4 kirilma ama RSI 35 asiri satima yakin + F/K 4.7 tez saglam; dip satma yapilmadi)
2026-07-06,ISCTR,21,0,tetik yok - sabit (RSI 38 asiri satima yakin; en ucuz banka; dip satma yapilmadi)
2026-07-06,TCELL,20,0,tetik yok - sabit (MACD neg bacagi firing ama RSI 31.8 asiri satim + stop 98 delinmedi -> hold)
2026-07-06,TUPRS,20,0,overweight REDDEDILDI - momentum settled bazda karsilandi (4 seans) ama RSI 74 asiri alim (tepe kovalamak 7.1); stop 200->220 trail ile korundu
2026-07-06,FROTO,18,0,tetik yok - sabit (RSI 23 derin asiri satim; stop 78 delinmedi; dip satma riski)
2026-07-07,GARAN,21,0,tetik yok - sabit (banka 07-03 dibi KORUNDU: 07-06 settled 133.70 > 133.50 esigi; rejim tetigi FIRE ETMEDI; RSI 33.7 asiri satima yakin + F/K 4.7 canli)
2026-07-07,ISCTR,21,0,tetik yok - sabit (07-06 settled 14.34 > 14.21 dip korundu; en ucuz banka F/K 3.7 PD/DD 0.7 canli; RSI 42)
2026-07-07,TCELL,20,0,tetik yok - sabit (07-06 settled 108.60 > 105 sikilastirma esigi VE > stop 98; RSI 41.4 asiri satimdan cikti; MACD hala neg ama esik delinmedi -> hold)
2026-07-07,TUPRS,20,0,tetik yok - sabit (07-06 settled 247.40 hafif DOWN -> 4-seans ralli settled bazda durdu; intraday 251.75 geri; stop 220 korundu; RSI 74 -> overweight yok)
2026-07-07,FROTO,18,0,tetik yok - sabit (07-06 settled 82.00 en kotu alfa -9.71 ama stop 78 delinmedi + RSI 27.7 derin asiri satim -> dip satma yok)
2026-07-08,GARAN,21,0,tetik yok - sabit (07-07 settled 134.40 > 133.50 dip esigi ustune cikti; rejim tetigi fire etmedi; F/K 4.7 canli; intraday RSI 17.9 asiri satim ama 2Y tahvil 40.52 yukari -> kirilgan; dip satma yok)
2026-07-08,ISCTR,21,0,tetik yok - sabit (07-07 settled 14.45 > 14.21 dip korundu; en ucuz banka F/K 3.7 PD/DD 0.7 canli; intraday RSI 28 asiri satim; alfa -3.81 iyilesti; dip satma yok)
2026-07-08,TCELL,20,0,tetik yok - sabit (07-07 settled 108.20 > 105 sikilastirma esigi VE > stop 98; intraday RSI 19.5 asiri satim; MACD neg bacak fired ama esik delinmedi -> hold)
2026-07-08,TUPRS,20,0,overweight yok - agirlik sabit ama POZISYON AKSIYONU: 07-07 settled 258.00 yeni yuksek -> trailing stop 220->235 trail; RSI 81.8 asiri alim + katalizorsuz ralli -> overweight = tepe kovalamak (7.1) reddedildi
2026-07-08,FROTO,18,0,tetik yok - sabit (07-07 settled 83.00 > stop 78; intraday RSI 12.83 EKSTREM asiri satim; alfa -9.12 iyilesti ama en kotu; stop 78 delinmedi -> dip satma yok)
2026-07-09,GARAN,21,0,tetik yok -> sabit (REJIM tetigi settled-dip legi MET: 07-08 settled 130.40 < 133.50 + MACD neg -1.56 -> DEGERLENDIRILDI; 07-08 XU100 -2.12% genel dususte banka BETA ile dustu portfoy ALFA -1.75->-1.80 duz; RSI 15.5 ekstrem asiri satim §7.1 dip-satma; stop 118 uzak KAP temiz -> KESIM YOK eskalasyon silahlandi: ikinci settled dip <130 -> de-risk)
2026-07-09,ISCTR,21,0,tetik yok -> sabit (REJIM settled-dip legi MET: 07-08 settled 14.08 < 14.21 + MACD neg -> hold; en ucuz banka F/K 3.6 PD/DD 0.7; alfa -4.15 beta dususu; RSI 28 asiri satim; ikinci settled dip <14.00 -> de-risk)
2026-07-09,TCELL,20,0,tetik yok -> sabit (07-08 settled 105.40 > 105 sikilastirma esigi SADECE +0.40 uzerinde VE > stop 98; MACD neg -0.86 bacak fired ama esik delinmedi -> hold; RSI 24.8 asiri satim; settled <105 -> kesim COK YAKIN)
2026-07-09,TUPRS,20,0,overweight yok - sabit (07-08 settled 256.50 hafif geri 258->256.50 > trailing stop 235; RSI 78.7 asiri alim + katalizorsuz KAP son 15 Haz -> overweight = tepe kovalamak reddedildi; alfa +15.89 en iyi; yeni yuksek yok -> stop 235 sabit)
2026-07-09,FROTO,18,0,tetik yok -> sabit (07-08 settled 80.80 '80 yaklasma' karar bolgesi ama > stop 78; RSI 12.2 EKSTREM asiri satim §7.2 dip-satma yok; alfa -9.41 en kotu; settled <80 -> karar eskalasyon <78 -> kesim; 30 Tem bilanco kritik test)
2026-07-10,GARAN,23,2,"tetik (b/d) DESTINASYON: intra-banka kalite tilti -> 07-09 settled 130.10 > 130 dip esigini KORUDU (ISCTR kirdi) VE endeksi yendi (GARAN -0.23% vs XU100 -0.60%); RSI 23.1 asiri satim ucuz giris; F/K 4.6 canli. ISCTR'den gelen 2pp buraya (daha guclu banka)"
2026-07-10,ISCTR,19,-2,"tetik (d) DE-RISK FIRED: 07-09 settled 13.90 < 14.00 ikinci-settled-dip esigi MET + IDIYOSINKRATIK zayiflik (ISCTR -1.28% vs XU100 -0.60% = -0.68pp underperformance, beta degil) -> armed eskalasyon uygulandi: 2pp trim (tam kesim degil; F/K 3.5 en ucuz banka + EPS beat tez intakt, RSI 27 asiri satim). 2pp GARAN'a (kalite tilti). Bank sektor agirligi 42% sabit"
2026-07-10,TCELL,20,0,"tetik yok -> sabit. 07-09 settled 104.90 < 105 kesim esigini KILDI ama (1) BETA kirilma degil idiyosinkratik: TCELL -0.47% > XU100 -0.60% (endeksi hafif YENDI); (2) 07-10 intraday 105.40 esik ustune GERI dondu; (3) RSI 24.3 asiri satim -> RSI 24'te kesmek §7.1/7.2 dip-satma. Hair-breach + reversiyon -> HOLD; kesim yeniden-demirlendi: settled <104 (kararli kirilma) -> kes. MACD -0.85 neg leg suruyor"
2026-07-10,TUPRS,20,0,"overweight yok -> agirlik sabit ama POZISYON AKSIYONU: 07-09 settled 264.25 YENI YUKSEK (>258) -> trailing stop 235->240 trail; RSI 89.3 EKSTREM asiri alim + ralli katalizorsuz (KAP son 15 Haz teyitli) -> overweight = tepe kovalamak §7.1 reddedildi; alfa +19.91 en iyi (arttI)"
2026-07-10,FROTO,18,0,"tetik yok -> sabit. 07-09 settled 80.85 > 80 karar bolgesi ustunde + > stop 78; RSI 17.3 ekstrem asiri satim §7.2 dip-satma yok; alfa -8.77 en kotu ama iyilesti (-9.41'den); temel intakt KAP temiz; settled <80 -> karar eskalasyon <78 -> kesim; 30 Tem bilanco kritik test"
2026-07-20,GARAN,23,0,"tetik yok -> sabit. Escalation KOSUL MET (5 settled <130) ama AKSIYON OVERRIDE: makro/beta (2Y 40.97->41.76 egri yukari tum bankalara baski) + RSI 22.7 EKSTREM asiri satim + F/K 4.46 deger + stop 118 uzak + KAP temiz -> §7.1 dip-satma RED, sabit; kesim stop 118 veya RSI>40 settled breakdown"
2026-07-20,ISCTR,19,0,"tetik yok -> sabit. 07-10 settled 13.78<13.80 3. dip tetigi teknik MET ama makro-oversold override; en ucuz buyuk banka F/K 3.48 PD/DD 0.69, RSI 29.8, MACD -0.18 flip'e yakin, stop 12.80 uzak -> §7.1 dip-satma RED, sabit (07-10'da zaten 21->19 trim edildi)"
2026-07-20,TCELL,20,0,"tetik yok -> sabit ama REJIM IYILESTI: settled hic <104 olmadi (07-09 RSI24 kesmeme VINDICATED 108.5'e toparladi), MACD +0.016 POZITIFE dondu + RSI 50.9 notr. Tek-gunluk MACD flip'e overweight yok (anti-whipsaw, histogram +0.17 kucuk); tez yeniden guclendi"
2026-07-20,TUPRS,20,0,"overweight yok -> agirlik sabit ama POZISYON AKSIYONU: 07-16/07-17 settled 286.25/289.25 YENI YUKSEKLER -> trailing stop 240->268; intraday 306.25 RSI 97.5 EKSTREM asiri alim + katalizorsuz -> taze alim/overweight = tepe kovalamak §7.1 RED; alfa +31.86 en iyi kar 268'de kilitli"
2026-07-20,FROTO,18,0,"tetik yok -> sabit. settled hep >80 (min 81.05, 84.4'e toparladi) 07-08/09 RSI12-17 dip-satmama VINDICATED; RSI 42.2 MACD histogram +0.085 donuyor; F/K 8.5 ucuz; 30 Tem bilanco KRITIK katalizor -> sabit"
2026-07-21,GARAN,23,0,"tetik yok -> sabit. 07-20 settled 124.30 YENI DIP (5.gun<130) + endeksi geride birakti (GARAN -1.97% vs XU100 +0.64% = -2.6pp) AMA KAP TEMIZ (haber rutin: kredi derece + faiz bildirim) -> makro/beta banka satisi, sirket-ozel degil (tum XBANK oversold: AKBNK RSI36 YKBNK32 HALKB31). RSI 21.6 EKSTREM asiri satim + F/K 4.4 deger + stop 118 uzak -> §7.1 dip-satma RED, sabit"
2026-07-21,ISCTR,19,0,"tetik yok -> sabit ama ESKALASYON ARMED. 07-20 settled 13.18 YENI DIP + IDIYOSINKRATIK zayiflik (ISCTR -3.65% vs XU100 +0.64% = -4.3pp up-gunde) DIKKAT. ANCAK KAP TEMIZ (haber rutin) -> sektor-geneli makro/beta (en yuksek beta ucuz banka), sirket-olayi degil. RSI 22.4 EKSTREM asiri satim + F/K 3.4 PD/DD 0.7 en ucuz buyuk banka -> §7.1 dip-satma RED, sabit (07-10'da zaten 21->19 trim). UYARI: stop 12.80 sadece %2.9 asagida -> stop temasi VEYA settled <13.00 2.idiyosinkratik dip -> de-risk trim"
2026-07-21,TCELL,20,0,"tetik yok -> sabit. 07-20 settled 109.60 > 104 kesim esigi cok uzerinde; MACD +0.27 SOLID POZITIF (histogram +0.15) RSI 57.2 notr -> rejim iyilesmesi TEYIT (07-20 raporundaki tek-gun MACD flip artik settled-teyitli). Tek-gun sinyaline overweight yok (anti-whipsaw); tez saglam"
2026-07-21,TUPRS,20,0,"overweight yok -> agirlik sabit ama POZISYON AKSIYONU: 07-20 settled 307.50 YENI YUKSEK (289.25->307.50, +6.31%) -> yeni-yuksek trail tetigi FIRED, trailing stop 268->285 (~%7.3 alt, +%26.4 getiri kilitli). RSI 97.0 EKSTREM asiri alim + katalizorsuz (KAP son somut 15 Haz) -> taze alim/overweight = tepe kovalamak §7.1 RED; alfa +39.34 en iyi (arttI)"
2026-07-21,FROTO,18,0,"tetik yok -> sabit. 07-20 settled 82.65 > 80 karar bolgesi + > stop 78; RSI 42.5 notr, MACD histogram +0.046 POZITIFE donuyor (momentum toparliyor); F/K 8.4 (XUSIN medyan ~17 yarisi) ucuz; alfa -6.56. 30 Tem bilanco KRITIK katalizor -> sabit; settled <80 eskalasyon <78 kesim"
2026-07-22,GARAN,23,0,"tetik yok -> sabit. 07-21 settled 124.20 (6.gun<130) AMA endeksi YENDI: GARAN -0.08% vs XU100 -0.69% (+0.6pp OUTPERFORM) -> banka-icinde kalite ISCTR'den ayristi. RSI 19.0 EKSTREM asiri satim + F/K 4.4 deger + KAP temiz (haber rutin faiz bildirim/ozel durum) + stop 118 uzak -> §7.1 makro-oversold dip-satma RED, sabit. Kesim stop 118 veya RSI>40 settled breakdown"
2026-07-22,TCELL,22,2,"tetik (d) DE-RISK ROTASYON DESTINASYONU: ISCTR trim'inden gelen 2pp buraya. 07-21 settled 111.50 > 104 esigi cok uzerinde; MACD +0.64 SOLID POZITIF (histogram +0.30 GENISLIYOR) + RSI 58.0 notr -> rejim iyilesmesi settled-teyitli, alfa POZITIFE dondu (+0.37). Defansif dusuk-beta: bankalar makro baskidayken (2Y tahvil 42.05 yukari) genuine de-risk destinasyonu. Tek-gun sinyaline degil settled-teyitli rejime dayali overweight"
2026-07-22,TUPRS,20,0,"overweight yok -> agirlik sabit ama POZISYON AKSIYONU: 07-21 settled 309.50 YENI YUKSEK (307.50->309.50) -> yeni-yuksek trail tetigi FIRED, trailing stop 285->287 (~%7.3 alt, +%26.9 getiri kilitli). RSI 97.1 EKSTREM asiri alim + katalizorsuz (KAP son somut 15 Haz) -> taze alim/overweight = tepe kovalamak §7.1 RED; alfa +40.89 en iyi (arttI)"
2026-07-22,FROTO,18,0,"tetik yok -> sabit. 07-21 settled 81.10 > 80 karar bolgesi + > stop 78 (07-21 intraday dip 80.75 stop delmedi); RSI 37.9 notr, MACD histogram +0.0007 POZITIFE donuyor (momentum toparliyor); F/K 8.3 (XUSIN medyan ~17 yarisi) ucuz; alfa -7.59. 30 Tem bilanco KRITIK katalizor -> sabit; settled <80 eskalasyon <78 kesim"
2026-07-22,ISCTR,17,-2,"tetik (d) DE-RISK TRIM FIRED: 07-21 settled 12.93 < 13.00 armed 2.idiyosinkratik-dip esigi MET + IDIYOSINKRATIK teyit (07-21 ISCTR -1.90% vs XU100 -0.69% = -1.2pp underperform VE peer GARAN -0.08% flat'tan ayristi = 2. ust uste seans). KAP temiz (haber rutin) -> tez-kirici olay yok, TRIM (kesim degil): -2pp TCELL'e (genuine bank de-risk, 42->40%). F/K 3.3 PD/DD 0.7 en ucuz banka + RSI 19.9 EKSTREM asiri satim -> core pozisyon+stop 12.80 intakt. Armed: stop temasi VEYA settled <12.50 3.dip -> ek de-risk"
2026-07-23,GARAN,23,0,"tetik yok -> sabit. 07-22 settled 125.90 (+1.37%) endeksi YENDI 2. ust uste seans (GARAN +1.37% vs XU100 +1.18% = +0.19pp) -> banka-icinde kalite tutarli ayristi. RSI 23.2 EKSTREM asiri satim (intraday) + F/K 4.4 deger + KAP temiz (haber rutin) + 2Y tahvil 42.05->41.93 hafif geriledi (ilk stabilizasyon) + stop 118 uzak -> §7.1 makro-oversold biriktirme, sabit. Kesim stop 118 veya RSI>40 settled breakdown"
2026-07-23,TCELL,22,0,"tetik yok -> sabit (anti-whipsaw). 07-22 settled 111.00 (-0.45%) UP-gunde geride kaldi (XU100 +1.18% = -1.63pp) -> alfa POZITIFTEN NEGATIFE geri dondu (+0.37 -> -1.20). ANCAK MACD +0.27 histogram +0.267 hala POZITIF + RSI 53.7 notr -> rejim INTAKT; tek-gun underperformans = gurultu, tetik yok -> +2pp de-risk destinasyonu KORUNUYOR. settled <104 kesim uzak"
2026-07-23,TUPRS,20,0,"overweight yok -> agirlik sabit ama POZISYON AKSIYONU: 07-22 settled 313.75 YENI YUKSEK (309.50->313.75, +1.37%) -> yeni-yuksek trail tetigi FIRED, trailing stop 287->291 (~%7.3 alt, +%29.1 getiri kilitli). RSI 95.6 EKSTREM asiri alim + katalizorsuz (KAP son somut 15 Haz) -> taze alim/overweight = tepe kovalamak §7.1 RED; alfa +41.64 en iyi (artti)"
2026-07-23,FROTO,18,0,"tetik yok -> sabit. 07-22 settled 81.45 > 80 karar bolgesi + > stop 78; RSI 42.9 notr, MACD histogram -0.005 (yatay/hafif negatif); F/K 8.3 (XUSIN medyan ~17 yarisi) ucuz; alfa -8.34. 30 Tem bilanco KRITIK katalizor (7 gun) -> sabit; settled <80 eskalasyon <78 kesim"
2026-07-23,ISCTR,17,0,"tetik yok -> sabit. 07-22 settled 13.06 (+1.00%) DIPTEN TOPARLADI (12.93->13.06): re-armed esikler (stop 12.80 temasi VEYA settled <12.50 3.dip) DELINMEDI -> ek de-risk YOK. RSI 21.9 EKSTREM asiri satim + F/K 3.3 PD/DD 0.7 en ucuz banka + KAP temiz -> core+stop 12.80 intakt, dun trim (19->17) yeterli. Re-armed korunuyor"
2026-07-24,GARAN,27,+4,"DE-RISK DESTINASYONU (+4): TCELL regime-break trim'inin ana alicisi. 07-23 settled 125.00 (-0.71%) endeksi HAFIF geride (XU100 -0.43%) -> 07-22'deki ust uste yenme serisi kirildi ama RSI 31.4 EKSTREM asiri satim + F/K 4.4 deger + PD/DD 1.2 + KAP temiz + stop 118 uzak. En kaliteli/en oversold banka -> de-risk sinki. UYARI: 2Y tahvil +1.26 -> 42.46 (dun 41.93'ten sicradi, stabilizasyon TERSINE dondu) = kisa vadeli banka ruzgari ters; yapisal deger tezi intakt. Banka konsantrasyonu 40->48% (§10 flag). Kesim stop 118 veya RSI>40 settled breakdown"
2026-07-24,ISCTR,21,+4,"DE-RISK DESTINASYONU (+4): en ucuz banka F/K 3.3 PD/DD 0.7 (defter alti). 07-23 settled 13.00 (-0.46%) 13.06'dan hafif geriledi ama re-armed esikler (stop 12.80 temasi VEYA settled <12.50 3.dip) DELINMEDI (07-23 low 12.90, 07-24 low 12.96 > stop). RSI 29.4 EKSTREM asiri satim. Dip toparlamasi surdu, idiyosinkratik cokus durdu. De-risk sinki ama idiyosinkratik-risk adi -> GARAN'dan dusuk agirlik. UYARI: 2Y +1.26 adverse. Re-armed korunuyor"
2026-07-24,TUPRS,20,0,"overweight yok -> agirlik sabit ama POZISYON: 07-23 settled 314.50 MARJINAL yeni yuksek (313.75->314.50, +0.24%) -> trail band icinde, trailing stop 291'de TUTULDU (marjinal yeni yuksek = gurultu, whipsaw yok; +%29.5 getiri kilitli). RSI 95.1 (gunluk TA) EKSTREM asiri alim + katalizorsuz (KAP son somut 15 Haz) -> taze alim/overweight = tepe kovalamak §7.1 RED; TEK pozitif-MACD isim (MACD +21.3 hist +5.37) = portfoyun tek momentum motoru + alfa +42.40 en iyi (artti). RSI 95'te EKLENMEZ"
2026-07-24,FROTO,18,0,"ESKALASYON FIRED ama agirlik sabit: 07-23 settled 79.40 < 80 -> 'karar eskalasyon' tetigi FIRED (kesim degil, aksiyon=eskalasyon). MACD -1.59 hist -0.208 NEGATIF (momentum bozuldu), RSI 36.0. ANCAK 30 Tem bilanco = somut binary katalizor 6 GUN sonra + F/K 8.1 (XUSIN medyan ~17 yarisi) en derin deger -> katalize KADAR core tutuluyor (eskalasyon tetigi 'watch' anlaminda, otomatik trim degil). settled hala >78 stop. Re-armed: settled <78 -> KESIM. alfa -10.17"
2026-07-24,TCELL,14,-8,"tetik FIRED - MACD-NEGATIF bacagi: 07-23 settled 105.00 (-5.41% IDIYOSINKRATIK cokus, XU100 -0.43% = -4.98pp) + 07-24 MACD -0.74 hist -0.19 NEGATIFE dondu -> pre-commit 'MACD negatif VEYA settled <104 -> Kesim' MACD bacagi MET. Rejim tezi (MACD-pozitif) YANLISLANDI. KAP fundamental katalizor YOK (23 Tem bildirimler: devre-kesici duyurusu=cokusun SONUCU + rutin finansal takvim) -> cokus flow/teknik. AKSIYON: DE-RISK TRIM -8pp (22->14, %36 azaltim), fon GARAN+ISCTR'ye. TAM cikis DEGIL cunku settled 105>104 sert esik + fundamental katalizor yok + RSI 45.5 notr (cokus degil) -> kismi. Re-armed: settled <104 -> TAM KESIM (stop 98)"
